,Unnamed: 0,Sent,Len,wiki_entities,Manual Annotation,terms_0.6,terms_0.7,terms_0.8,terms_0.9,terms_1.0
45,45,Electromagnetic brakes are likewise often used where an electric motor is already part of the machinery,16,"['Electromagnetism', 'Electromagnetic brake', 'Brake', 'Electric motor', 'Machine']","Electromagnetic Brake, electric motor, machine",['Electromagnetic brake'],"['Electromagnetic brake', 'Electric motor']","['Electromagnetic brake', 'Electric motor']","['Electromagnetic brake', 'Brake', 'Electric motor']","['Electromagnetism', 'Electromagnetic brake', 'Brake', 'Electric motor', 'Machine']"
46,46,"For example, many hybrid gasoline/electric vehicles use the electric motor as a generator to charge electric batteries and also as a regenerative brake",23,"['List of motor vehicle deaths in Japan by year', 'Hybrid electric vehicle', 'Gasoline', 'Electric vehicle', 'Vehicle', 'Electric motor', 'Electric generator', 'Rechargeable battery', 'Electric battery', 'Regenerative brake', 'Brake']","Hybrid vehicle, gasoline vehicle, electric vehicle, electric motor, generator, electric battery","['Electric motor', 'Regenerative brake']","['Electric motor', 'Electric battery', 'Regenerative brake']","['Gasoline', 'Electric vehicle', 'Electric motor', 'Electric battery', 'Regenerative brake']","['Hybrid electric vehicle', 'Gasoline', 'Electric vehicle', 'Electric motor', 'Electric generator', 'Electric battery', 'Regenerative brake']","['List of motor vehicle deaths in Japan by year', 'Hybrid electric vehicle', 'Gasoline', 'Electric vehicle', 'Vehicle', 'Electric motor', 'Electric generator', 'Rechargeable battery', 'Electric battery', 'Regenerative brake', 'Brake']"
47,47,Some diesel/electric railroad locomotives use the electric motors to generate electricity which is then sent to a resistor bank and dumped as heat,23,"['Rechargeable alkaline battery', 'Diesel engine', 'Railway electrification system', 'Rail transport', 'Locomotive', 'Electric motor', 'Electricity generation', 'Electric generator', 'Electricity', 'Christian mission', 'Resistor', 'Bank engine', 'Dumping (pricing policy)', 'Heat']","Diesel, Electric, Railroad, Locomotive, electric motor, electricity, resistor bank, Heat","['Locomotive', 'Electric motor', 'Resistor']","['Locomotive', 'Electric motor', 'Electricity', 'Resistor']","['Diesel engine', 'Rail transport', 'Locomotive', 'Electric motor', 'Electricity', 'Resistor']","['Diesel engine', 'Railway electrification system', 'Rail transport', 'Locomotive', 'Electric motor', 'Electric generator', 'Electricity', 'Resistor']","['Rechargeable alkaline battery', 'Diesel engine', 'Railway electrification system', 'Rail transport', 'Locomotive', 'Electric motor', 'Electricity generation', 'Electric generator', 'Electricity', 'Christian mission', 'Resistor', 'Bank engine', 'Dumping (pricing policy)', 'Heat']"
48,48,"Some vehicles, such as some transit buses, do not already have an electric motor but use a secondary retarder brake that is effectively a generator with an internal short circuit",30,"['Rechargeable alkaline battery', 'Vehicle', 'Transit bus', 'Do while loop', 'Electric motor', 'Health care', 'Retarder (mechanical engineering)', 'Brake', 'Effectiveness', 'Electric generator', 'Short circuit']","Vehicle, Transit Bus, Electric motor, secondary retarder brake, generator, short circuit","['Transit bus', 'Electric motor']","['Transit bus', 'Electric motor', 'Short circuit']","['Transit bus', 'Electric motor', 'Electric generator', 'Short circuit']","['Vehicle', 'Transit bus', 'Electric motor', 'Electric generator', 'Short circuit']","['Rechargeable alkaline battery', 'Vehicle', 'Transit bus', 'Do while loop', 'Electric motor', 'Health care', 'Retarder (mechanical engineering)', 'Brake', 'Effectiveness', 'Electric generator', 'Short circuit']"
49,49,"Related types of such a brake are eddy current brakes, and electro mechanical brakes which actually are magnetically driven friction brakes, but nowadays are often just called electromagnetic brakes as well",31,"['The Related Companies', 'Brake', 'Eddy current', 'Eddy current brake', 'Alternating current', 'Electro (music)', 'Machine', 'Glossary of professional wrestling terms', 'Magnetism', 'Harmonic oscillator', 'Justice', 'Eponym', 'Electromagnetic brake']","Brake, Eddy current brake, electro mechanicla brake, magnetically driven friction brake, electromagnetic brake","['Brake', 'Eddy current brake']","['Brake', 'Eddy current', 'Eddy current brake']","['Brake', 'Eddy current', 'Eddy current brake', 'Machine', 'Electromagnetic brake']","['Brake', 'Eddy current', 'Eddy current brake', 'Alternating current', 'Machine', 'Electromagnetic brake']","['The Related Companies', 'Brake', 'Eddy current', 'Eddy current brake', 'Alternating current', 'Electro (music)', 'Machine', 'Glossary of professional wrestling terms', 'Magnetism', 'Harmonic oscillator', 'Justice', 'Eponym', 'Electromagnetic brake']"
50,50,"Electromagnetic brakes slow an object through electromagnetic induction, which creates resistance and in turn either heat or electricity",18,"['Electromagnetism', 'Electromagnetic brake', 'Brake', 'Bradycardia', 'Physical object', 'Electromagnetic induction', 'Genesis creation narrative', 'Shapeshifting', 'Heat', 'Electricity']","Electromagnetic Brake, electromagnetic induction, resistance, Heat, Electricity",['Electromagnetic induction'],['Electromagnetic induction'],"['Electromagnetic brake', 'Electromagnetic induction']","['Electromagnetism', 'Electromagnetic brake', 'Electromagnetic induction', 'Electricity']","['Electromagnetism', 'Electromagnetic brake', 'Brake', 'Bradycardia', 'Physical object', 'Electromagnetic induction', 'Genesis creation narrative', 'Shapeshifting', 'Heat', 'Electricity']"
51,51,Friction brakes apply pressure on two separate objects to slow the vehicle in a controlled manner,16,"['Friction', 'Brake', 'Apply', 'Pressure', 'Grade separation', 'Spin bowling', 'Vehicle', 'Manner of articulation']","Frication Brake, Pressure, Vehicle",[],['Friction'],"['Friction', 'Brake']","['Friction', 'Brake', 'Pressure']","['Friction', 'Brake', 'Apply', 'Pressure', 'Grade separation', 'Spin bowling', 'Vehicle', 'Manner of articulation']"
52,52,Brakes are often described according to several characteristics including:,9,"['Brake', 'Binomial nomenclature', 'Phenotypic trait']","Brake, characteristics",[],[],[],[],"['Brake', 'Binomial nomenclature', 'Phenotypic trait']"
53,53,"Foundation components are the brake assembly components at the wheels of a vehicle, named for forming the basis of the rest of the brake system",25,"['Brake', 'Manufacturing', 'Wheel', 'Vehicle', 'Forming (metalworking)', 'Basis (linear algebra)', 'Inertia', 'Hydraulic brake', 'System']","Foundational components, Brake assembly components at the wheels of vehicle, brake system",['Brake'],"['Brake', 'Wheel']","['Brake', 'Wheel', 'Vehicle']","['Brake', 'Manufacturing', 'Wheel', 'Vehicle', 'Hydraulic brake']","['Brake', 'Manufacturing', 'Wheel', 'Vehicle', 'Forming (metalworking)', 'Basis (linear algebra)', 'Inertia', 'Hydraulic brake', 'System']"
54,54,These mechanical parts contained around the wheels are controlled by the air brake system,14,"['These', 'Machine', 'Spare part', 'Containment', 'Wheel', 'Railway air brake', 'Brake', 'Hydraulic brake', 'Computer']","Mechanical parts, Wheel, Air Brake system",['Railway air brake'],"['Railway air brake', 'Brake']","['Wheel', 'Railway air brake', 'Brake']","['Machine', 'Wheel', 'Railway air brake', 'Brake']","['These', 'Machine', 'Spare part', 'Containment', 'Wheel', 'Railway air brake', 'Brake', 'Hydraulic brake', 'Computer']"
55,55,"The three types of foundation brake systems are “S” cam brakes, disc brakes and wedge brakes",16,"['Lever', 'Foundation (engineering)', 'Brake', 'Disc brake', 'Computer', 'Solidarity (Polish trade union)', 'Cam', 'Wedge']","Foundation Brake System, Cam Brake, Disc Brake, Wedge brake",['Disc brake'],['Disc brake'],"['Brake', 'Disc brake']","['Brake', 'Disc brake', 'Cam']","['Lever', 'Foundation (engineering)', 'Brake', 'Disc brake', 'Computer', 'Solidarity (Polish trade union)', 'Cam', 'Wedge']"
56,56,"Most modern passenger vehicles, and light vans, use a vacuum assisted brake system that greatly increases the force applied to the vehicle brakes by the force operator",27,"['Most (city)', 'Car', 'Vehicle', 'Light', 'Van', 'Vacuum', 'Assist (association football)', 'Brake', 'Hydraulic brake', 'System', 'Increase (knitting)', 'Force', 'Chemistry']","Modern Passenger Vehicle, Light van, vacuum assisted brake system, Vehicle Brake, Force Operator","['Vacuum', 'Brake']","['Van', 'Vacuum', 'Brake']","['Vehicle', 'Van', 'Vacuum', 'Brake']","['Car', 'Vehicle', 'Van', 'Vacuum', 'Brake', 'Force']","['Most (city)', 'Car', 'Vehicle', 'Light', 'Van', 'Vacuum', 'Assist (association football)', 'Brake', 'Hydraulic brake', 'System', 'Increase (knitting)', 'Force', 'Chemistry']"
57,57,This additional force is supplied by the manifold vacuum generated by air flow being obstructed by the throttle on a running engine,22,"['Supernumerary body part', 'Force', 'Manifold', 'Manifold vacuum', 'Generating set of a group', 'Electricity generation', 'Aircraft', 'Airflow', 'Obstruction of justice', 'Throttle', 'Running', 'Internal combustion engine']","Force, manifold, vacuum, air flow, throttle, engine",['Manifold vacuum'],"['Manifold vacuum', 'Throttle']","['Manifold', 'Manifold vacuum', 'Throttle']","['Force', 'Manifold', 'Manifold vacuum', 'Throttle', 'Internal combustion engine']","['Supernumerary body part', 'Force', 'Manifold', 'Manifold vacuum', 'Generating set of a group', 'Electricity generation', 'Aircraft', 'Airflow', 'Obstruction of justice', 'Throttle', 'Running', 'Internal combustion engine']"
58,58,"This force is greatly reduced when the engine is running at fully open throttle, as the difference between ambient air pressure and manifold absolute air pressure is reduced, and therefore available vacuum is diminished",34,"['Force', 'Redox', 'Internal combustion engine', 'Throttle', 'Subtraction', 'Ambient music', 'Atmosphere of Earth', 'Aircraft', 'Atmospheric pressure', 'Manifold', 'Availability', 'Vacuum', 'Tritone']","Force, Engine, Full throttle, Ambient Air Pressure, Manifold, Absolute air pressure, Vacuum","['Ambient music', 'Atmospheric pressure', 'Vacuum']","['Ambient music', 'Atmospheric pressure', 'Manifold', 'Vacuum']","['Throttle', 'Ambient music', 'Atmospheric pressure', 'Manifold', 'Vacuum']","['Force', 'Internal combustion engine', 'Throttle', 'Ambient music', 'Atmospheric pressure', 'Manifold', 'Vacuum']","['Force', 'Redox', 'Internal combustion engine', 'Throttle', 'Subtraction', 'Ambient music', 'Atmosphere of Earth', 'Aircraft', 'Atmospheric pressure', 'Manifold', 'Availability', 'Vacuum', 'Tritone']"
59,59,"However, brakes are rarely applied at full throttle; the driver takes the right foot off the gas pedal and moves the gas pedal to the brake pedal  unless left foot braking is used",33,"['Brake', 'Chemistry', 'Throttle', 'Take', 'Right-wing politics', 'Port and starboard', 'Perpendicular', 'Off-Broadway', 'Gasoline', 'Car controls', 'Motion', 'Representative Concentration Pathway', 'Brexit']","Brake, Full Throttle, Gas Pedal, Brake Pedal","['Brake', 'Car controls']","['Brake', 'Car controls']","['Brake', 'Car controls']","['Brake', 'Throttle', 'Gasoline', 'Car controls']","['Brake', 'Chemistry', 'Throttle', 'Take', 'Right-wing politics', 'Port and starboard', 'Perpendicular', 'Off-Broadway', 'Gasoline', 'Car controls', 'Motion', 'Representative Concentration Pathway', 'Brexit']"
60,60,"Because of low vacuum at high RPM, reports of unintended acceleration are often accompanied by complaints of failed or weakened brakes, as the high revving engine, having an open throttle, is unable to provide enough vacuum to power the brake booster",41,"['Because Music', 'Low Earth orbit', 'Vacuum', 'RPM (magazine)', 'Hadith', 'Unintended pregnancy', 'Sudden unintended acceleration', 'Acceleration', 'Accompaniment', 'Complaint', 'Bankruptcy', 'Radio propagation', 'Brake', 'Internal combustion engine', 'Throttle', 'Total depravity', 'Vacuum servo']","Vacuum, RPM, accelearation, Brake, Engine, Throttle, Vacuum, Brake Booster",['RPM (magazine)'],"['Vacuum', 'RPM (magazine)', 'Vacuum servo']","['Vacuum', 'RPM (magazine)', 'Throttle', 'Vacuum servo']","['Vacuum', 'RPM (magazine)', 'Acceleration', 'Brake', 'Throttle', 'Vacuum servo']","['Because Music', 'Low Earth orbit', 'Vacuum', 'RPM (magazine)', 'Hadith', 'Unintended pregnancy', 'Sudden unintended acceleration', 'Acceleration', 'Accompaniment', 'Complaint', 'Bankruptcy', 'Radio propagation', 'Brake', 'Internal combustion engine', 'Throttle', 'Total depravity', 'Vacuum servo']"
61,61,"This problem is exacerbated in vehicles equipped with automatic transmissions as the vehicle will automatically downshift upon application of the brakes, thereby increasing the torque delivered to the driven wheels in contact with the road surface",36,"['Problem solving', 'Positive feedback', 'Vehicle', 'Military technology', 'Automatic transmission', 'Automation', 'Transmission (mechanics)', 'Free will', 'Software', 'Brake', 'Population growth', 'Torque', 'Childbirth', 'Pile driver', 'Wheel', 'Roman road from Silchester to Bath', 'Road', 'Road surface']","Vehicle, automatic Transimission, Downshift, Brake, Torque, wheels, surface",['Automatic transmission'],"['Automatic transmission', 'Torque']","['Vehicle', 'Automatic transmission', 'Torque', 'Wheel']","['Vehicle', 'Automatic transmission', 'Transmission (mechanics)', 'Brake', 'Torque', 'Wheel']","['Problem solving', 'Positive feedback', 'Vehicle', 'Military technology', 'Automatic transmission', 'Automation', 'Transmission (mechanics)', 'Free will', 'Software', 'Brake', 'Population growth', 'Torque', 'Childbirth', 'Pile driver', 'Wheel', 'Roman road from Silchester to Bath', 'Road', 'Road surface']"
62,62,"Heavier road vehicles, as well as trains, usually boost brake power with compressed air, supplied by one or more compressors",20,"['Road transport', 'Vehicle', 'Train', 'Convention (norm)', 'Turbocharger', 'Brake', 'Compressor', 'Compressed air', 'Aircraft']","Heavier Road Vehicle, Train, Brake Power, Compressed air, Compressor","['Vehicle', 'Compressed air']","['Vehicle', 'Compressed air']","['Vehicle', 'Brake', 'Compressor', 'Compressed air']","['Vehicle', 'Brake', 'Compressor', 'Compressed air', 'Aircraft']","['Road transport', 'Vehicle', 'Train', 'Convention (norm)', 'Turbocharger', 'Brake', 'Compressor', 'Compressed air', 'Aircraft']"
63,63,"Although ideally a brake would convert all the kinetic energy into heat, in practice a significant amount may be converted into acoustic energy instead, contributing to noise pollution",28,"['Idealization (philosophy of science)', 'Brake', 'Energy transformation', 'Kinetic energy', 'Heat', 'De facto', 'Statistical significance', 'Amount of substance', 'Sound', 'Contributing property', 'Noise pollution', 'Pollution']","Brake, Kinetic Energy, Heat, Acoustic Energy, noise pollution",['Noise pollution'],['Noise pollution'],"['Kinetic energy', 'Noise pollution']","['Kinetic energy', 'Heat', 'Sound', 'Noise pollution']","['Idealization (philosophy of science)', 'Brake', 'Energy transformation', 'Kinetic energy', 'Heat', 'De facto', 'Statistical significance', 'Amount of substance', 'Sound', 'Contributing property', 'Noise pollution', 'Pollution']"
64,64,"For road vehicles, the noise produced varies significantly with tire construction, road surface, and the magnitude of the deceleration",19,"['Fornax', 'Road', 'Vehicle', 'Noise', 'Silicon', 'Variable star', 'Statistical significance', 'Tire', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']","Vehicle, noise, Tire construction, road surface, deceleration","['Road surface', 'Magnitude (astronomy)', 'Acceleration']","['Vehicle', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']","['Vehicle', 'Tire', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']","['Vehicle', 'Noise', 'Tire', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']","['Fornax', 'Road', 'Vehicle', 'Noise', 'Silicon', 'Variable star', 'Statistical significance', 'Tire', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']"
65,65,Noise can be caused by different things,7,"['Noise', 'Canning', 'Causality', 'Difference (philosophy)', 'Internet of things']",Noise,[],[],[],[],"['Noise', 'Canning', 'Causality', 'Difference (philosophy)', 'Internet of things']"
66,66,These are signs that there may be issues with brakes wearing out over time,14,"['These', 'Neon sign', 'Software bug', 'Brake', 'Wear']","Brake, Wear",[],[],[],['Brake'],"['These', 'Neon sign', 'Software bug', 'Brake', 'Wear']"
67,67,Railway brake malfunctions can produce sparks and cause forest fires,10,"['Rail transport', 'Railway brake', 'Canning', 'Production (economics)', 'Ember', 'Causality', 'Wildfire']","Ralway, Brake, Spark, Forest, Fire",[],[],['Railway brake'],"['Railway brake', 'Wildfire']","['Rail transport', 'Railway brake', 'Canning', 'Production (economics)', 'Ember', 'Causality', 'Wildfire']"
68,68,"In some very extreme cases, disc brakes can become red hot and set on fire",15,"['Maxima and minima', 'Lawsuit', 'Disc brake', 'Canning', 'Incandescence', 'Heat', 'Set (mathematics)', 'Arson', 'Fire']","Disc Brake, Red hot, Fire",[],[],[],['Disc brake'],"['Maxima and minima', 'Lawsuit', 'Disc brake', 'Canning', 'Incandescence', 'Heat', 'Set (mathematics)', 'Arson', 'Fire']"
69,69,"This happened in the Tuscan GP, when the Mercedes car, the Whad its front carbon disc brakes almost busting into flames, due to low ventilation and high usage",28,"['Tuscan order', 'Grand Prix motor racing', 'Car', 'Carbon', 'Disc brake', 'Negligible senescence', 'Fire', 'Impact of the COVID-19 pandemic on the environment', 'Low voltage', 'Ventilation (architecture)', 'Usage (language)']","Tuscan GP, Mercedes car, Front Carbon Disc Brake, Flame, Ventilation, usage",['Disc brake'],"['Tuscan order', 'Disc brake']","['Tuscan order', 'Carbon', 'Disc brake']","['Tuscan order', 'Car', 'Carbon', 'Disc brake']","['Tuscan order', 'Grand Prix motor racing', 'Car', 'Carbon', 'Disc brake', 'Negligible senescence', 'Fire', 'Impact of the COVID-19 pandemic on the environment', 'Low voltage', 'Ventilation (architecture)', 'Usage (language)']"
70,70,"These fires can also occur on some Mercedes Sprinter vans, when the load adjusting sensor seizes up and the rear brakes have to compensate for the fronts",27,"['These', 'Fire', 'Canning', 'Cyclogenesis', 'Mercedes-Benz Sprinter', 'Van', 'Cargo', 'Spinal adjustment', 'Sensor', 'Rear-wheel drive', 'Disc brake', 'Nationalization', 'Weather front']","Fire, Mercedes Sprinter van, load adjusting sensor, rear brake",[],['Mercedes-Benz Sprinter'],"['Mercedes-Benz Sprinter', 'Van']","['Mercedes-Benz Sprinter', 'Van', 'Disc brake']","['These', 'Fire', 'Canning', 'Cyclogenesis', 'Mercedes-Benz Sprinter', 'Van', 'Cargo', 'Spinal adjustment', 'Sensor', 'Rear-wheel drive', 'Disc brake', 'Nationalization', 'Weather front']"
71,71,"A significant amount of energy is always lost while braking, even with regenerative braking which is not perfectly efficient",19,"['Statistical significance', 'Quantity', 'Energy', 'Shipwreck', 'Brake', 'Even and odd functions', 'Regenerative brake']","Energy, Brake, Regenerative Brake",[],['Regenerative brake'],['Regenerative brake'],"['Energy', 'Regenerative brake']","['Statistical significance', 'Quantity', 'Energy', 'Shipwreck', 'Brake', 'Even and odd functions', 'Regenerative brake']"
72,72,"Therefore, a good metric of efficient energy use while driving is to note how much one is braking",18,"['Value theory', 'International System of Units', 'Efficient energy use', 'Energy', 'Driving', 'Security (finance)', 'Brake']","Energy, Brake",[],[],['Efficient energy use'],"['Efficient energy use', 'Energy']","['Value theory', 'International System of Units', 'Efficient energy use', 'Energy', 'Driving', 'Security (finance)', 'Brake']"
73,73,"If the majority of deceleration is from unavoidable friction instead of braking, one is squeezing out most of the service from the vehicle",23,"['If (magazine)', 'Adult', 'Acceleration', 'Friction', 'Brake', 'Compression (physics)', 'Vehicle']","Deceleration, Friction, Brake, Vehicle","['Acceleration', 'Friction']","['Acceleration', 'Friction']","['Acceleration', 'Friction', 'Vehicle']","['Acceleration', 'Friction', 'Vehicle']","['If (magazine)', 'Adult', 'Acceleration', 'Friction', 'Brake', 'Compression (physics)', 'Vehicle']"
74,74,Minimizing brake use is one of the fuel economy maximizing behaviors,11,"['Brake', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Mathematical optimization', 'Behavior']","Brake, Fuel Economy",[],['Fuel economy in automobiles'],"['Fuel', 'Fuel economy in automobiles']","['Brake', 'Fuel', 'Fuel economy in automobiles']","['Brake', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Mathematical optimization', 'Behavior']"
75,75,"While energy is always lost during a brake event, a secondary factor that influences efficiency is off brake drag, or drag that occurs when the brake is not intentionally actuated",30,"['While', 'Energy', 'Always (Mai Kuraki song)', 'Lost film', 'Brake', 'Secondary school', 'Coefficient', 'Social influence', 'Off-Broadway', 'Drag (physics)', 'Intention', 'Actuator']","Energy, Brake, Drag, Actuate",['Drag (physics)'],['Drag (physics)'],"['Brake', 'Drag (physics)']","['Energy', 'Brake', 'Drag (physics)']","['While', 'Energy', 'Always (Mai Kuraki song)', 'Lost film', 'Brake', 'Secondary school', 'Coefficient', 'Social influence', 'Off-Broadway', 'Drag (physics)', 'Intention', 'Actuator']"
76,76,"After a braking event, hydraulic pressure drops in the system, allowing the brake caliper pistons to retract",17,"['Brake', 'Hydraulics', 'Pressure', 'Pressure drop', 'Drop (liquid)', 'Computer', 'Disc brake', 'Piston', 'Retraction (topology)']","Brake, Hydraulic pressure, system, Caliper, piston","['Hydraulics', 'Disc brake']","['Hydraulics', 'Disc brake']","['Hydraulics', 'Disc brake', 'Piston']","['Brake', 'Hydraulics', 'Disc brake', 'Piston']","['Brake', 'Hydraulics', 'Pressure', 'Pressure drop', 'Drop (liquid)', 'Computer', 'Disc brake', 'Piston', 'Retraction (topology)']"
77,77,"However, this retraction must accommodate all compliance in the system under pressure as well as thermal distortion of components like the brake disc or the brake system will drag until the contact with the disc, for example, knocks the pads and pistons back from the rubbing surface",47,"['However (song)', 'Retraction (topology)', 'Must', 'Accommodation (eye)', 'Stiffness', 'The Establishment', 'Computer', 'Pressure', 'Distortion', 'Unix-like', 'Disc brake', 'Hydraulic brake', 'Free will', 'Drag (physics)', 'Propiska in the Soviet Union', '.example', 'Brake pad', 'Piston', 'Anatomical terms of location', 'Rubbing']","Retraction, compliance, System, Pressure, Thermal Distortion, Brake Disc, Brake System, drag, disc, pad, piston, rubbing surface","['Disc brake', 'Piston']","['Disc brake', 'Drag (physics)', 'Piston']","['Pressure', 'Disc brake', 'Drag (physics)', 'Piston']","['Stiffness', 'Computer', 'Pressure', 'Distortion', 'Disc brake', 'Drag (physics)', 'Piston']","['However (song)', 'Retraction (topology)', 'Must', 'Accommodation (eye)', 'Stiffness', 'The Establishment', 'Computer', 'Pressure', 'Distortion', 'Unix-like', 'Disc brake', 'Hydraulic brake', 'Free will', 'Drag (physics)', 'Propiska in the Soviet Union', '.example', 'Brake pad', 'Piston', 'Anatomical terms of location', 'Rubbing']"
78,78,"During this time, there can be significant brake drag",9,"['Canning', 'Fujita scale', 'Brake', 'Drag (physics)']","Brake, Drag",[],[],['Drag (physics)'],['Drag (physics)'],"['Canning', 'Fujita scale', 'Brake', 'Drag (physics)']"
79,79,"This brake drag can lead to significant parasitic power loss, thus impacting fuel economy and overall vehicle performance",18,"['Disc brake', 'Drag (physics)', 'Canning', 'Lead', 'Statistical significance', 'Parasitism', 'Parasitic load', 'Power outage', 'Habitat destruction', 'Impact event', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Length overall', 'Vehicle', 'Performing arts']","Brake, Drag, Parasitic power loss, Fuel Economy, Vehicle, Performance","['Parasitic load', 'Fuel economy in automobiles']","['Drag (physics)', 'Parasitic load', 'Fuel economy in automobiles']","['Drag (physics)', 'Parasitic load', 'Fuel', 'Fuel economy in automobiles']","['Drag (physics)', 'Parasitism', 'Parasitic load', 'Fuel', 'Fuel economy in automobiles', 'Vehicle']","['Disc brake', 'Drag (physics)', 'Canning', 'Lead', 'Statistical significance', 'Parasitism', 'Parasitic load', 'Power outage', 'Habitat destruction', 'Impact event', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Length overall', 'Vehicle', 'Performing arts']"
80,80,"In the , Wooden block brakes became obsolete when Michelin brothers introduced rubber tires",14,"['Wood', 'Brake run', 'Obsolescence', 'Michelin', 'African Americans', 'Invasive species', 'Natural rubber', 'Tire']","Wooden Block brake, Michelin Brothers, rubber tire,","['Brake run', 'Tire']","['Brake run', 'Tire']","['Brake run', 'Michelin', 'Tire']","['Brake run', 'Michelin', 'Natural rubber', 'Tire']","['Wood', 'Brake run', 'Obsolescence', 'Michelin', 'African Americans', 'Invasive species', 'Natural rubber', 'Tire']"
81,81,"During the , some car manufacturers replaced drum brakes with disc brakes",12,"['Car', 'Automotive industry', 'Bogie exchange', 'Drum brake', 'Disc brake']","Car manufacturer, Drum brake, Disc brake",['Disc brake'],['Disc brake'],['Disc brake'],"['Drum brake', 'Disc brake']","['Car', 'Automotive industry', 'Bogie exchange', 'Drum brake', 'Disc brake']"
82,82,In the ABS was fitted in the Jensen FF grand tourer,11,"['Anti-lock braking system', 'Fitting out', 'Jensen FF', 'Ferrari FF', 'Grand jury', 'Grand tourer', 'Convertible']","ABS, Jensen FF grand tourer",['Jensen FF'],"['Jensen FF', 'Grand tourer']","['Anti-lock braking system', 'Jensen FF', 'Grand tourer']","['Anti-lock braking system', 'Jensen FF', 'Grand tourer', 'Convertible']","['Anti-lock braking system', 'Fitting out', 'Jensen FF', 'Ferrari FF', 'Grand jury', 'Grand tourer', 'Convertible']"
83,83,In Bosch and Mercedes updated Bosch and Mercedes anti lock brake system for the Mercedes S Class,17,"['Robert Bosch GmbH', 'Facelift (automotive)', 'Locking differential', 'Brake', 'Hydraulic brake', 'Computer', 'Mercedes-Benz S-Class', 'Car classification']","Bosch, Mercedes, Anti Lock Brake system, Mercedes S class",['Mercedes-Benz S-Class'],"['Robert Bosch GmbH', 'Mercedes-Benz S-Class']","['Robert Bosch GmbH', 'Mercedes-Benz S-Class']","['Robert Bosch GmbH', 'Brake', 'Hydraulic brake', 'Mercedes-Benz S-Class']","['Robert Bosch GmbH', 'Facelift (automotive)', 'Locking differential', 'Brake', 'Hydraulic brake', 'Computer', 'Mercedes-Benz S-Class', 'Car classification']"
84,84,"That ABS is a fully electronic, four wheel and multi channel system that later became standard",16,"['Anti-lock braking system', 'Electronic music', 'Wheel', 'Computer']","ABS, Electronic, Wheel, Multi-Channel, System",[],['Anti-lock braking system'],"['Anti-lock braking system', 'Electronic music']","['Anti-lock braking system', 'Electronic music']","['Anti-lock braking system', 'Electronic music', 'Wheel', 'Computer']"
85,85,In ESC which automatically applies the brakes to avoid a loss of steering control become compulsory for carriers of dangerous goods without data recorders in the Canadian province of Quebec,30,"['Electronic stability control', 'Automation', 'Function application', 'Brake', 'Tax avoidance', 'Space Shuttle Columbia disaster', 'Steering', 'Compulsory education', 'Risk', 'Dangerous goods', 'Cargo', 'Independent politician', 'Data', 'Data logger', 'Videocassette recorder', 'Provinces and territories of Canada', 'Quebec']","Brake, Steering, Data recorders, Canadian Provinces",['Quebec'],['Quebec'],"['Provinces and territories of Canada', 'Quebec']","['Automation', 'Dangerous goods', 'Provinces and territories of Canada', 'Quebec']","['Electronic stability control', 'Automation', 'Function application', 'Brake', 'Tax avoidance', 'Space Shuttle Columbia disaster', 'Steering', 'Compulsory education', 'Risk', 'Dangerous goods', 'Cargo', 'Independent politician', 'Data', 'Data logger', 'Videocassette recorder', 'Provinces and territories of Canada', 'Quebec']"
86,86,Since numerous United Nations Economic Commission for Europe UNECE countries use Brake Assist System BAS a function of the braking system that deduces an emergency braking event from a characteristic of the driver brake demand and under such conditions assist the driver to improve barking,45,"['Since', 'Glossary of botanical terms', 'United Nations', 'United Nations Economic Commission for Europe', 'Nation', 'Economics', 'European Union', 'Sovereign state', 'Brake', 'Emergency brake assist', 'Assist (association football)', 'System', 'Physiology', 'Computer', 'State of emergency', 'Chinese characters', 'Supply and demand', 'Disease', 'Improvement', 'Muntjac']","United Nations Economic Commission for Europe, Brake Assist System, Brake, System, Driver Brake Demand, Brake",['United Nations Economic Commission for Europe'],"['United Nations', 'United Nations Economic Commission for Europe']","['United Nations', 'United Nations Economic Commission for Europe', 'Emergency brake assist']","['United Nations', 'United Nations Economic Commission for Europe', 'European Union', 'Sovereign state', 'Brake', 'Emergency brake assist']","['Since', 'Glossary of botanical terms', 'United Nations', 'United Nations Economic Commission for Europe', 'Nation', 'Economics', 'European Union', 'Sovereign state', 'Brake', 'Emergency brake assist', 'Assist (association football)', 'System', 'Physiology', 'Computer', 'State of emergency', 'Chinese characters', 'Supply and demand', 'Disease', 'Improvement', 'Muntjac']"
