,coocc_term,source_term,target_term,relation,score,count
7734,Selenium rectifier-Copper,Selenium rectifier,Copper,is related with,0.9920480847358704,1
4028,Hydropneumatic suspension-Brake fluid,Hydropneumatic suspension,Brake fluid,consists of,0.9920479655265808,5
858,British Aerospace-Aircraft,Aircraft,British Aerospace,is related with,0.9920390844345092,1
2048,Drum brake-Brake,Drum brake,Brake,is type of,0.992032825946808,1
848,British Aerospace ATP-Aircraft,Aircraft,British Aerospace ATP,is related with,0.9920273423194884,1
1579,De Havilland-BAC One-Eleven,BAC One-Eleven,De Havilland,is related with,0.992024064064026,1
8812,Throttle-Car,Throttle,Car,is part of,0.9920227527618408,2
1516,Daimler AG-Brake,Brake,Daimler AG,is part of,0.99202162027359,1
3053,Force-Brake,Brake,Force,has parameter,0.9920175075531006,6
11288,Waren (Müritz)-Friction,Friction,Waren (Müritz),is related with,0.9920085668563844,1
11216,Voltage-Electric generator,Voltage,Electric generator,is parameter of,0.9920033812522888,1
8257,Stainless steel-Brake,Stainless steel,Brake,is part of,0.992003321647644,1
7036,Ratchet (device)-Brake,Ratchet (device),Brake,is part of,0.992002248764038,1
1039,Car-Camshaft,Car,Camshaft,consists of,0.991995334625244,1
12164,Wind turbine-Brake pad,Brake pad,Wind turbine,is part of,0.9919900298118592,2
9949,Turbocharger-Throttle,Turbocharger,Throttle,consists of,0.99197655916214,1
1155,Chrysotile-Brake lining,Chrysotile,Brake lining,is related with,0.9919752478599548,1
11118,Vickers-De Havilland Comet,De Havilland Comet,Vickers,is related with,0.991974413394928,1
7203,Reservoir-Brake,Brake,Reservoir,consists of,0.9919741749763488,1
1376,Continental AG-CBS,CBS,Continental AG,is part of,0.9919702410697936,1
8038,Solvent-Ethanol,Solvent,Ethanol,is related with,0.9919631481170654,1
6465,Pressure-Brake fluid,Brake fluid,Pressure,has parameter,0.9919621348381042,1
6053,Piston-Disc brake,Piston,Disc brake,is part of,0.991960346698761,1
9281,Track brake-Electric current,Electric current,Track brake,is part of,0.9919588565826416,2
10873,Vehicle-Operating signals,Operating signals,Vehicle,is part of,0.9919509887695312,1
1000,Car-Brake,Brake,Car,is part of,0.9919477105140686,1
740,Brake-Bicycle handlebar,Brake,Bicycle handlebar,interacts with,0.9919450879096984,6
10300,Valve-Brake,Brake,Valve,consists of,0.9919440746307372,2
6485,Pressure-Car controls,Pressure,Car controls,is parameter of,0.9919440746307372,2
5809,Parking brake-Brake,Parking brake,Brake,is type of,0.9919344186782836,1
5390,Methanol-Isopropyl alcohol,Methanol,Isopropyl alcohol,is related with,0.991932213306427,1
5808,Parking brake-Brake,Parking brake,Brake,is type of,0.9919312596321106,1
1260,Compressed air-Atmosphere,Compressed air,Atmosphere,consists of,0.9919251799583436,1
7230,Reservoir-Brake,Reservoir,Brake,is part of,0.9919233918190002,1
10360,Valve-Brake,Valve,Brake,is part of,0.9919214248657228,1
10766,Vehicle-Brands Hatch,Brands Hatch,Vehicle,is parameter of,0.991916835308075,4
6160,Pneumatics-Electric multiple unit,Electric multiple unit,Pneumatics,consists of,0.991910755634308,2
6934,Railway air brake-Brake,Railway air brake,Brake,is type of,0.991909682750702,1
3085,Force-Brake,Force,Brake,is parameter of,0.9919090867042542,1
1061,Carriage-Brake,Brake,Carriage,is part of,0.9919075965881348,1
10359,Valve-Brake,Valve,Brake,is part of,0.9919032454490662,1
31,Auto racing-Aluminium,Aluminium,Auto racing,is related with,0.9919028878211976,3
6440,Pressure-Brake,Pressure,Brake,is parameter of,0.9919024109840392,1
6470,Pressure-Brake fluid,Pressure,Brake fluid,is parameter of,0.9919024109840392,1
869,British Aircraft Corporation-Aircraft,British Aircraft Corporation,Aircraft,is related with,0.9919020533561708,1
171,Brake fluid-Brake,Brake,Brake fluid,consists of,0.9918990135192872,5
7180,Reservoir-Anti-lock braking system,Anti-lock braking system,Reservoir,interacts with,0.9918984174728394,1
9937,Truck-Transmission (mechanics),Truck,Transmission (mechanics),is part of,0.991893708705902,1
1945,Drivetrain-Axle,Axle,Drivetrain,interacts with,0.9918901920318604,1
2795,Excited state-Brake,Brake,Excited state,indirectly related with,0.9918883442878724,3
7925,Shoe-Brake,Shoe,Brake,is part of,0.9918881058692932,2
2930,Fluid-Atmosphere of Earth,Fluid,Atmosphere of Earth,is part of,0.9918870329856871,10
1948,Drivetrain-Brake,Brake,Drivetrain,interacts with,0.9918853044509888,1
5367,Metal-Dashboard,Dashboard,Metal,consists of,0.991868257522583,2
2561,Emergency brake (train)-Brake,Emergency brake (train),Brake,is type of,0.9918676018714904,1
3795,Hybrid electric vehicle-Electric vehicle,Electric vehicle,Hybrid electric vehicle,has type,0.9918659329414368,1
10358,Valve-Brake,Valve,Brake,is part of,0.9918659329414368,2
6534,Pressure-Force,Pressure,Force,is parameter of,0.9918654561042786,1
1453,Crosley-Auto racing,Crosley,Auto racing,is related with,0.9918654561042786,3
868,British Aircraft Corporation-Aircraft,Aircraft,British Aircraft Corporation,is related with,0.991865336894989,1
2669,Engine braking-Brake-by-wire,Brake-by-wire,Engine braking,is related with,0.9918578267097472,1
11878,Wheel-Gastropod shell,Gastropod shell,Wheel,interacts with,0.9918549060821532,6
10223,Vacuum-Servomechanism,Vacuum,Servomechanism,is type of,0.9918540716171264,1
10185,Vacuum servo-Servomechanism,Vacuum servo,Servomechanism,is type of,0.9918540716171264,1
10188,Vacuum servo-Vacuum,Vacuum,Vacuum servo,is type of,0.9918540716171264,1
5047,Magnetic field-Magnetic braking (astronomy),Magnetic field,Magnetic braking (astronomy),is type of,0.991844117641449,2
849,British Aerospace ATP-Aircraft,British Aerospace ATP,Aircraft,is related with,0.9918402433395386,1
9201,Toyota Soarer-Toyota,Toyota Soarer,Toyota,is type of,0.9918368458747864,2
7120,Regenerative brake-Dynamic braking,Dynamic braking,Regenerative brake,is related with,0.9918256998062134,3
102,Bowden cable-Bicycle brake,Bicycle brake,Bowden cable,consists of,0.9918171763420104,6
5583,Natural rubber-Brake,Brake,Natural rubber,consists of,0.9918124675750732,1
10721,Vehicle-Brake,Vehicle,Brake,consists of,0.991812229156494,2
11040,Vickers Valiant-English Electric,English Electric,Vickers Valiant,is related with,0.9918093085289,1
1503,Cylinder (engine)-Brake fluid,Brake fluid,Cylinder (engine),is part of,0.9918063879013062,1
5361,Metal-Brake shoe,Metal,Brake shoe,is part of,0.991804838180542,2
11964,Wheel-Pressure,Pressure,Wheel,is parameter of,0.9917998909950256,1
10720,Vehicle-Brake,Vehicle,Brake,consists of,0.9917992353439332,1
10780,Vehicle-Computer,Vehicle,Computer,is part of,0.9917991161346436,1
2727,English Electric Lightning-Aircraft,Aircraft,English Electric Lightning,is related with,0.9917709827423096,1
7546,Rolling stock-Inch of mercury,Inch of mercury,Rolling stock,is part of,0.9917701482772828,2
5475,Motorcycle-Brake,Brake,Motorcycle,is part of,0.9917681217193604,2
8404,Steel-Brake,Steel,Brake,is part of,0.991765320301056,2
3611,Head-end power-Electric locomotive,Electric locomotive,Head-end power,consists of,0.9917616844177246,3
1898,Downhill (ski competition)-Brake,Downhill (ski competition),Brake,indirectly related with,0.9917606115341188,6
10357,Valve-Brake,Valve,Brake,is part of,0.9917559623718262,1
7034,Ratchet (device)-Brake,Brake,Ratchet (device),consists of,0.991750419139862,1
1785,Disc brake-Brake,Disc brake,Brake,is type of,0.991746187210083,6
4745,Locomotive-Brake,Brake,Locomotive,is part of,0.9917415380477904,1
5756,Parking brake-Brake,Brake,Parking brake,has type,0.9917391538619996,1
9865,Truck-Brake,Brake,Truck,is part of,0.9917383790016174,1
10057,Vacuum brake-Brake,Brake,Vacuum brake,has type,0.991736114025116,1
5977,Pipe (fluid conveyance)-Computer,Computer,Pipe (fluid conveyance),consists of,0.9917328357696532,1
4725,Locomotive-Boiler,Boiler,Locomotive,is part of,0.9917256832122804,2
11005,Vibration-Brake,Vibration,Brake,indirectly related with,0.9917253255844116,3
10794,Vehicle-Electrical grid,Vehicle,Electrical grid,consists of,0.9917245507240297,3
4643,Lever-Force,Force,Lever,is parameter of,0.9917144179344176,1
9890,Truck-Cylinder (engine),Cylinder (engine),Truck,is part of,0.991713285446167,1
8321,Steam brake-Steam,Steam,Steam brake,is type of,0.991710901260376,2
5298,Mechanical engineering-Friction,Mechanical engineering,Friction,is related with,0.9917027354240416,1
6014,Piston-Brake,Piston,Brake,is part of,0.9916967153549194,1
5412,Mineral oil-Citroën,Mineral oil,Citroën,is part of,0.9916929602622986,5
8626,System-Brake,Brake,System,is type of,0.991691827774048,2
7668,Safety valve-Compressor,Compressor,Safety valve,consists of,0.991686761379242,1
10560,Valve-Train,Valve,Train,is part of,0.9916834831237792,2
6509,Pressure-Cylinder (engine),Pressure,Cylinder (engine),is parameter of,0.9916810393333436,1
5492,Motorcycle-Brake fade,Motorcycle,Brake fade,consists of,0.9916776418685912,1
3439,Gas-Bearing surface,Bearing surface,Gas,is related with,0.991676926612854,1
404,Brake shoe-Brake,Brake,Brake shoe,consists of,0.9916757345199584,2
6496,Pressure-Compressor,Pressure,Compressor,is part of,0.9916747212409972,1
10433,Valve-Extended play,Valve,Extended play,is part of,0.9916746020317078,2
7148,Regulation-Car,Regulation,Car,is part of,0.9916674494743348,1
2864,Ferodo-Asbestos,Asbestos,Ferodo,is related with,0.991666853427887,1
2206,Eddy current brake-Eddy current,Eddy current,Eddy current brake,is type of,0.9916622638702391,2
999,Car-Brake,Brake,Car,is part of,0.991659700870514,1
11338,Weaving-Resin,Resin,Weaving,is related with,0.9916592240333556,1
10909,Vehicle-Regeneration (biology),Vehicle,Regeneration (biology),consists of,0.9916397929191588,3
11043,Vickers Valiant-English Electric Lightning,Vickers Valiant,English Electric Lightning,is related with,0.9916348457336426,1
5389,Methanol-Isopropyl alcohol,Isopropyl alcohol,Methanol,is related with,0.9916296601295472,1
5953,Phenol formaldehyde resin-Phenol,Phenol,Phenol formaldehyde resin,is type of,0.9916272163391112,1
4627,Lever-Disc brake,Lever,Disc brake,is part of,0.9916266202926636,6
3855,Hydraulic brake-Brake,Hydraulic brake,Brake,is type of,0.9916207790374756,1
3567,Handley Page Victor-English Electric Lightning,English Electric Lightning,Handley Page Victor,is related with,0.99161958694458,1
4608,Lever-Control car,Control car,Lever,consists of,0.991616427898407,1
244,Brake lining-Asbestos,Brake lining,Asbestos,is related with,0.9916160702705384,1
10299,Valve-Brake,Brake,Valve,consists of,0.9916123151779176,1
6253,Power brakes-Brake,Power brakes,Brake,is type of,0.9916110634803772,2
2234,Eddy current-Brake,Brake,Eddy current,has type,0.9916059970855712,2
3333,Friction-Brake,Friction,Brake,is parameter of,0.9916003942489624,3
1212,Clutch-Brake,Clutch,Brake,interacts with,0.9915989637374878,1
2136,Dust-Brake,Brake,Dust,consists of,0.9915928840637208,3
7548,Rolling stock-Parking brake,Parking brake,Rolling stock,is part of,0.9915898442268372,1
856,British Aerospace ATP-British Aerospace,British Aerospace,British Aerospace ATP,is related with,0.9915812611579896,1
8982,Tire-Regenerative brake,Tire,Regenerative brake,consists of,0.9915785789489746,2
4055,Ignition timing-Air compressor,Air compressor,Ignition timing,is related with,0.9915745854377748,1
2764,English Electric-De Havilland Sea Vixen,English Electric,De Havilland Sea Vixen,is related with,0.9915744662284852,1
2496,Electronically controlled pneumatic brakes-Brake,Electronically controlled pneumatic brakes,Brake,is type of,0.9915711879730223,2
2205,Eddy current brake-Eddy current,Eddy current,Eddy current brake,is type of,0.9915688633918762,2
11517,Wheel slide protection-Rail transport,Rail transport,Wheel slide protection,consists of,0.991564393043518,1
9086,Torque-Brake,Torque,Brake,is parameter of,0.9915615916252136,2
8316,Steam brake-Brake,Steam brake,Brake,is type of,0.9915538430213928,2
10084,Vacuum brake-Brake,Vacuum brake,Brake,is type of,0.9915470480918884,1
3766,Hose-Computer,Hose,Computer,is part of,0.9915444850921632,1
403,Brake shoe-Brake,Brake,Brake shoe,consists of,0.991541862487793,2
2896,Fin-Brake,Brake,Fin,consists of,0.9915395379066468,2
11710,Wheel-Brake,Wheel,Brake,interacts with,0.9915392994880676,6
2126,Drum-Brake,Drum,Brake,is part of,0.9915378093719482,2
6659,Pump-Brake,Brake,Pump,consists of,0.9915281534194946,1
3833,Hydraulic brake-Brake,Brake,Hydraulic brake,has type,0.9915277361869812,1
1555,De Havilland Sea Vixen-Avro Vulcan,De Havilland Sea Vixen,Avro Vulcan,is related with,0.9915233850479126,1
9635,Train-Kunze-Knorr brake,Train,Kunze-Knorr brake,consists of,0.9915218353271484,1
2125,Drum-Brake,Drum,Brake,is part of,0.9914986491203308,2
7768,Sensor-Anti-lock braking system,Anti-lock braking system,Sensor,consists of,0.9914958477020264,1
8046,Solvent-Methanol,Solvent,Methanol,is related with,0.9914935827255248,1
10472,Valve-Locomotive,Valve,Locomotive,is part of,0.991491973400116,1
7924,Shoe-Brake,Shoe,Brake,is part of,0.9914854168891908,1
4776,Locomotive-Brake,Locomotive,Brake,consists of,0.9914844632148744,1
3288,Friction-Brake,Brake,Friction,has parameter,0.9914819002151488,2
9085,Torque-Brake,Torque,Brake,is parameter of,0.991479992866516,2
12096,Wheel-Vehicle,Vehicle,Wheel,consists of,0.9914786219596864,2
720,Brake-Bicycle brake,Bicycle brake,Brake,is type of,0.9914686679840088,6
2695,Engineer-Automatic transmission,Engineer,Automatic transmission,interacts with,0.9914679527282716,1
1751,Disc brake-Brake,Brake,Disc brake,has type,0.9914640784263612,2
1199,Clutch-Brake,Brake,Clutch,interacts with,0.991461992263794,1
11570,Wheel-Axle,Axle,Wheel,interacts with,0.9914613962173462,6
2560,Emergency brake (train)-Brake,Emergency brake (train),Brake,is type of,0.9914542436599731,1
5081,Manual transmission-Clutch,Manual transmission,Clutch,consists of,0.9914537668228148,1
7549,Rolling stock-Parking brake,Rolling stock,Parking brake,consists of,0.9914504885673524,1
10356,Valve-Brake,Valve,Brake,is part of,0.9914488196372986,1
2274,Electric current-Brake,Brake,Electric current,consists of,0.99144846200943,2
3543,Hand signals-Brake,Hand signals,Brake,indirectly related with,0.9914458990097046,6
50,BAC One-Eleven-Avro Vulcan,BAC One-Eleven,Avro Vulcan,is related with,0.9914355874061584,1
4101,Information-Brake,Information,Brake,is parameter of,0.9914339780807496,1
2781,Ethylene glycol-Brake,Brake,Ethylene glycol,consists of,0.9914311766624452,1
4924,Magnesium-Electric current,Magnesium,Electric current,consists of,0.9914310574531556,1
201,Brake fluid-Brake,Brake fluid,Brake,is part of,0.9914289116859436,1
7741,Selenium rectifier-Machine tool,Machine tool,Selenium rectifier,is related with,0.9914234280586244,1
1508,Cylinder (engine)-Compressed air,Cylinder (engine),Compressed air,consists of,0.991417646408081,1
5807,Parking brake-Brake,Parking brake,Brake,is type of,0.9914093613624572,1
3052,Force-Brake,Brake,Force,has parameter,0.9914044141769408,1
11246,Volvo-Radar,Radar,Volvo,is part of,0.9913899302482604,1
2751,English Electric-BAC One-Eleven,BAC One-Eleven,English Electric,is related with,0.9913865327835084,1
3051,Force-Brake,Brake,Force,has parameter,0.99138206243515,6
2047,Drum brake-Brake,Drum brake,Brake,is type of,0.991378903388977,1
293,Brake pad-Brake,Brake,Brake pad,consists of,0.9913780689239502,2
2243,Eddy current-Brake,Eddy current,Brake,is type of,0.9913729429244996,2
4522,Lever-Brake,Brake,Lever,consists of,0.9913711547851562,6
6047,Piston-Disc brake,Disc brake,Piston,consists of,0.9913705587387084,3
1682,Disc brake-Auto racing,Auto racing,Disc brake,is related with,0.991370439529419,3
9215,Toyota-Brake,Toyota,Brake,consists of,0.9913697242736816,1
1047,Carbon-fiber-reinforced polymers-Automotive industry,Carbon-fiber-reinforced polymers,Automotive industry,is part of,0.9913638830184937,1
3150,Fork (software development)-Disc brake,Fork (software development),Disc brake,interacts with,0.9913631677627563,6
5181,Master cylinder-Brake,Master cylinder,Brake,is part of,0.9913596510887146,1
1942,Drive shaft-Clutch,Drive shaft,Clutch,interacts with,0.9913532137870787,1
8246,Square wheel-Car,Square wheel,Car,is part of,0.9913527369499208,1
7307,Reservoir-Railway air brake,Railway air brake,Reservoir,consists of,0.991330862045288,2
2280,Electric current-Brake,Electric current,Brake,is part of,0.9913269877433776,2
2046,Drum brake-Brake,Drum brake,Brake,is type of,0.9913259148597716,6
8521,Stroke (engine)-Piston,Stroke (engine),Piston,consists of,0.9913244247436525,1
2531,Emergency brake (train)-Brake,Brake,Emergency brake (train),has type,0.9913199543952942,1
9819,Transmission brake-Brake,Transmission brake,Brake,is type of,0.9913110733032228,1
2045,Drum brake-Brake,Drum brake,Brake,is type of,0.9913108348846436,3
3902,Hydraulic fluid-Brake,Brake,Hydraulic fluid,consists of,0.9913079142570496,1
10895,Vehicle-Piston rod,Vehicle,Piston rod,consists of,0.9913074374198914,1
2044,Drum brake-Brake,Drum brake,Brake,is type of,0.9913030862808228,1
3332,Friction-Brake,Friction,Brake,is parameter of,0.9912958145141602,1
3287,Friction-Brake,Brake,Friction,has parameter,0.9912925362586976,2
9881,Truck-Brake,Truck,Brake,consists of,0.991288423538208,1
2,Aircraft-Accumulator (computing),Accumulator (computing),Aircraft,is part of,0.9912864565849304,1
3535,Great Western Railway-Brake,Great Western Railway,Brake,consists of,0.991284728050232,2
11641,Wheel-Brake,Brake,Wheel,interacts with,0.9912830591201782,1
2871,Ferodo-Chapel-en-le-Frith,Chapel-en-le-Frith,Ferodo,is related with,0.9912661910057068,1
8528,Stroke (engine)-Stroke,Stroke (engine),Stroke,is type of,0.9912636280059814,1
4023,Hydropneumatic suspension-Aircraft,Hydropneumatic suspension,Aircraft,is related with,0.9912571907043456,2
8992,Tire-Speed,Speed,Tire,is parameter of,0.9912567138671876,1
12103,Wheel-Vehicle,Wheel,Vehicle,is part of,0.9912549257278442,2
8432,Steel-Phosphor bronze,Phosphor bronze,Steel,is related with,0.9912545084953308,6
6183,Polyvinyl chloride-Chloride,Polyvinyl chloride,Chloride,consists of,0.9912410974502563,1
11153,Viscosity-Brake,Brake,Viscosity,has parameter,0.991240918636322,5
2801,Exhaust brake-Brake,Brake,Exhaust brake,has type,0.991239368915558,1
1750,Disc brake-Brake,Brake,Disc brake,has type,0.9912379384040833,2
11258,WSP Global-Canadian Pacific Railway,Canadian Pacific Railway,WSP Global,consists of,0.991235613822937,1
10083,Vacuum brake-Brake,Vacuum brake,Brake,is type of,0.9912307262420654,2
11083,Vickers Viscount-English Electric,Vickers Viscount,English Electric,is related with,0.9912289381027222,1
1211,Clutch-Brake,Clutch,Brake,interacts with,0.9912232160568236,1
2423,Electromagnetic brake-Brake,Brake,Electromagnetic brake,has type,0.991218626499176,2
695,Brake-Bicycle,Bicycle,Brake,consists of,0.9912140965461732,6
10056,Vacuum brake-Brake,Brake,Vacuum brake,has type,0.991212785243988,2
1749,Disc brake-Brake,Brake,Disc brake,has type,0.9912084341049194,3
11755,Wheel-Brake shoe,Wheel,Brake shoe,consists of,0.9912051558494568,2
8448,Steering wheel-Brake,Steering wheel,Brake,interacts with,0.991203546524048,2
1115,Ceramic-Cast iron,Cast iron,Ceramic,is related with,0.9911974668502808,2
4049,IXYS Corporation-Bristol,Bristol,IXYS Corporation,is related with,0.9911924004554749,1
3731,High-speed rail-European Union,European Union,High-speed rail,is part of,0.9911836385726928,2
9570,Train-Compressed air,Compressed air,Train,is part of,0.9911816120147704,1
132,Brake fade-Brake,Brake fade,Brake,is part of,0.991178810596466,1
32,Auto racing-Aluminium,Auto racing,Aluminium,is related with,0.991177499294281,3
4177,Internal combustion engine-Citroën,Citroën,Internal combustion engine,consists of,0.9911710619926452,5
4983,Magnet-Locomotive,Magnet,Locomotive,is part of,0.9911693334579468,1
11111,Vickers-British Aerospace,Vickers,British Aerospace,is related with,0.9911677837371826,1
5341,Metal-Brake,Brake,Metal,consists of,0.9911636114120485,6
11709,Wheel-Brake,Wheel,Brake,interacts with,0.9911612272262572,6
9014,Titanium-Heat shield,Titanium,Heat shield,is type of,0.9911497831344604,1
4489,Lever-Bicycle,Bicycle,Lever,consists of,0.9911460280418396,6
2135,Dust-Brake,Brake,Dust,consists of,0.9911439418792723,2
2363,Electrical network-Brake,Brake,Electrical network,consists of,0.9911434650421144,3
6958,Railway air brake-Compressed air dryer,Railway air brake,Compressed air dryer,is type of,0.99114191532135,1
4744,Locomotive-Brake,Brake,Locomotive,is part of,0.99113267660141,2
3286,Friction-Brake,Brake,Friction,has parameter,0.9911104440689088,2
1909,Drag (physics)-Brake,Brake,Drag (physics),indirectly related with,0.991108536720276,6
9640,Train-Live steam,Live steam,Train,is part of,0.9911084175109864,2
2043,Drum brake-Brake,Drum brake,Brake,is type of,0.9911074042320251,1
11398,Westinghouse Electric Corporation-Brake,Brake,Westinghouse Electric Corporation,is part of,0.9911069273948668,2
1093,Ceramic-Aircraft,Ceramic,Aircraft,is part of,0.9911065697669984,3
6396,Pressure-Brake,Brake,Pressure,has parameter,0.991104543209076,1
9677,Train-Regulation,Train,Regulation,consists of,0.991097331047058,1
850,British Aerospace ATP-Avro Vulcan,Avro Vulcan,British Aerospace ATP,is related with,0.991096258163452,1
9267,Track brake-Brake,Track brake,Brake,is type of,0.9910945892333984,2
2204,Eddy current brake-Eddy current,Eddy current,Eddy current brake,is type of,0.9910901784896852,2
670,Brake-Band brake,Band brake,Brake,is type of,0.991085946559906,6
2510,Embodied energy-Air conditioning,Embodied energy,Air conditioning,is related with,0.9910837411880492,3
10055,Vacuum brake-Brake,Brake,Vacuum brake,has type,0.991078794002533,2
1572,De Havilland Sea Vixen-De Havilland Comet,De Havilland Comet,De Havilland Sea Vixen,is related with,0.9910711050033568,1
6978,Railway air brake-Electronically controlled pneumatic brakes,Railway air brake,Electronically controlled pneumatic brakes,has type,0.99107027053833,2
11818,Wheel-Disc brake,Wheel,Disc brake,is type of,0.9910653233528136,1
1748,Disc brake-Brake,Brake,Disc brake,has type,0.9910643100738524,1
4350,Kinetic energy recovery system-Brake,Kinetic energy recovery system,Brake,is part of,0.991062879562378,2
141,Brake fluid-Anti-lock braking system,Brake fluid,Anti-lock braking system,is part of,0.9910525679588318,1
7368,Retarder (mechanical engineering)-Brake,Brake,Retarder (mechanical engineering),consists of,0.9910509586334229,1
10462,Valve-Internal combustion engine,Valve,Internal combustion engine,is part of,0.9910481572151184,1
2689,Engine-Brake,Brake,Engine,interacts with,0.9910474419593812,2
11019,Vickers Valiant-Avro Vulcan,Vickers Valiant,Avro Vulcan,is related with,0.9910473227500916,1
8188,Sports Car Club of America-Auto racing,Auto racing,Sports Car Club of America,is related with,0.9910455346107484,3
36,Automotive industry-Actuator,Actuator,Automotive industry,is part of,0.9910433292388916,1
6804,Rail transport-Parking brake,Rail transport,Parking brake,consists of,0.991042971611023,1
1686,Disc brake-Auto racing,Disc brake,Auto racing,is related with,0.9910407662391664,3
512,Brake-Air brake (road vehicle),Air brake (road vehicle),Brake,is type of,0.991038978099823,1
5201,Master cylinder-Cylinder (engine),Cylinder (engine),Master cylinder,has type,0.9910383224487304,1
7988,Slavery-Cylinder (engine),Cylinder (engine),Slavery,has type,0.9910383224487304,1
12284,Zinc-Brake,Zinc,Brake,is part of,0.9910361766815186,2
2936,Fluid-Brake,Brake,Fluid,consists of,0.9910323023796082,5
8370,Steam-Brake,Brake,Steam,has type,0.9910276532173156,2
8312,Steam brake-Brake,Brake,Steam brake,has type,0.9910276532173156,2
8695,Temperature-Bank,Temperature,Bank,is parameter of,0.991024136543274,3
533,Brake-Aircraft,Aircraft,Brake,consists of,0.9910152554512024,1
6553,Pressure-Inlet manifold,Pressure,Inlet manifold,is parameter of,0.9910146594047546,1
9008,Titanium-Heat shield,Heat shield,Titanium,has type,0.9910131096839904,1
5755,Parking brake-Brake,Brake,Parking brake,has type,0.9910079836845398,1
4860,Louis Renault (industrialist)-Asbestos,Louis Renault (industrialist),Asbestos,consists of,0.9910035133361816,2
3050,Force-Brake,Brake,Force,has parameter,0.9910027980804444,3
2134,Dust-Brake,Brake,Dust,consists of,0.990997076034546,3
11879,Wheel-Gastropod shell,Wheel,Gastropod shell,interacts with,0.990993320941925,6
9530,Train-Brake,Train,Brake,consists of,0.990970253944397,1
3200,Friction modifier-Brake,Brake,Friction modifier,consists of,0.9909694790840148,2
9982,United Kingdom-Maxaret,United Kingdom,Maxaret,is related with,0.9909658432006836,1
1365,Concorde-Brake,Concorde,Brake,consists of,0.990956723690033,3
2838,Extended play-Brake,Brake,Extended play,has type,0.99094957113266,2
8734,Tension (physics)-Brake,Tension (physics),Brake,is parameter of,0.9909477829933168,6
2477,Electronic stability control-Brake,Electronic stability control,Brake,interacts with,0.9909327030181884,1
6157,Pneumatics-Coal,Coal,Pneumatics,consists of,0.990931510925293,1
5522,Motor–generator-Electric generator,Motor–generator,Electric generator,consists of,0.9909306168556212,1
6143,Pneumatics-Brake,Brake,Pneumatics,consists of,0.9909293055534364,1
3832,Hydraulic brake-Brake,Brake,Hydraulic brake,has type,0.9909293055534364,6
6217,Port-Brake,Brake,Port,consists of,0.9909287095069884,1
3493,Glossary of graph theory-Force multiplication,Glossary of graph theory,Force multiplication,is part of,0.9909249544143676,2
1685,Disc brake-Auto racing,Disc brake,Auto racing,is related with,0.9909239411354064,3
1043,Carbon-fiber-reinforced polymers-Aircraft,Carbon-fiber-reinforced polymers,Aircraft,is part of,0.990921676158905,1
1946,Drivetrain-Axle,Drivetrain,Axle,interacts with,0.9909148812294006,1
9210,Toyota-Brake,Brake,Toyota,is part of,0.9909093976020812,1
2912,Flap (aeronautics)-Brake,Brake,Flap (aeronautics),consists of,0.9909061193466188,2
11339,Weaving-Resin,Weaving,Resin,is related with,0.990902841091156,1
4229,Internal combustion engine-Engine braking,Internal combustion engine,Engine braking,is type of,0.9908921718597412,1
931,Cambridge-Brake lining,Brake lining,Cambridge,is related with,0.9908905625343324,1
3921,Hydraulic fluid-Gear oil,Hydraulic fluid,Gear oil,consists of,0.9908776879310608,1
9475,Train-Brake,Brake,Train,is part of,0.9908730983734132,1
7229,Reservoir-Brake,Reservoir,Brake,is part of,0.9908698201179504,1
12037,Wheel-Steel,Wheel,Steel,consists of,0.9908539056777954,6
3331,Friction-Brake,Friction,Brake,is parameter of,0.9908517003059388,2
5980,Piston pump-Gas,Piston pump,Gas,is part of,0.990849494934082,1
3049,Force-Brake,Brake,Force,has parameter,0.9908478260040284,6
7826,Sensor-Clamp (tool),Sensor,Clamp (tool),interacts with,0.9908458590507508,1
5163,Master cylinder-Brake,Brake,Master cylinder,consists of,0.9908435344696044,2
4203,Internal combustion engine-Diesel engine,Internal combustion engine,Diesel engine,is part of,0.9908419847488404,1
8755,Thermal energy-Bicycle,Thermal energy,Bicycle,is parameter of,0.990839183330536,6
3854,Hydraulic brake-Brake,Hydraulic brake,Brake,is type of,0.9908389449119568,2
9474,Train-Brake,Brake,Train,is part of,0.9908377528190612,1
5368,Metal-Dashboard,Metal,Dashboard,is part of,0.9908369779586792,2
8902,Tire-Brake,Brake,Tire,interacts with,0.990835666656494,6
2257,Election Commission of Pakistan-Cable television,Election Commission of Pakistan,Cable television,consists of,0.9908321499824524,2
2042,Drum brake-Brake,Drum brake,Brake,is type of,0.9908310770988464,2
10912,Vehicle-Resistor,Resistor,Vehicle,is part of,0.9908225536346436,3
8511,Stroke (engine)-Energy,Energy,Stroke (engine),is part of,0.9908164739608764,1
7928,Shoe-Computer,Computer,Shoe,consists of,0.9908081889152528,2
11448,Wheel cylinder-Brake,Brake,Wheel cylinder,interacts with,0.99080628156662,5
5678,Oil-Hydraulic fluid,Hydraulic fluid,Oil,consists of,0.9908002018928528,1
9696,Train-Set (mathematics),Set (mathematics),Train,is part of,0.990793764591217,2
729,Brake-Bicycle brake,Brake,Bicycle brake,has type,0.9907891154289246,6
2559,Emergency brake (train)-Brake,Emergency brake (train),Brake,is type of,0.9907853603363036,1
